Date,Open,Close,High,Low,Volume
2019-01-02,9.39,9.19,9.42,9.16,539386.0
2019-01-03,9.18,9.28,9.33,9.15,415537.0
2019-01-04,9.24,9.75,9.82,9.22,1481159.0
2019-01-07,9.84,9.74,9.85,9.63,865687.0
2019-01-08,9.73,9.66,9.74,9.62,402388.0
2019-01-09,9.74,9.94,10.08,9.7,1233486.0
2019-01-10,9.87,10.1,10.2,9.86,1071817.0
2019-01-11,10.11,10.2,10.22,10.05,696364.0
2019-01-14,10.22,10.11,10.25,10.07,500443.0
2019-01-15,10.11,10.24,10.28,10.09,542160.0
2019-01-16,10.24,10.48,10.5,10.23,977699.0
2019-01-17,10.54,10.25,10.57,10.17,882811.0
2019-01-18,10.34,10.43,10.49,10.28,738793.0
2019-01-21,10.34,10.34,10.47,10.32,659355.0
2019-01-22,10.34,10.28,10.44,10.26,424413.0
2019-01-23,10.29,10.35,10.47,10.29,537876.0
2019-01-24,10.4,10.52,10.55,10.37,679240.0
2019-01-25,10.56,11.0,11.04,10.55,2108361.0
2019-01-28,11.04,10.94,11.14,10.88,1035909.0
2019-01-29,10.96,11.0,11.07,10.77,826631.0
2019-01-30,10.95,10.95,11.18,10.86,712001.0
2019-01-31,10.98,11.1,11.2,10.94,831622.0
2019-02-01,11.2,11.2,11.25,10.96,1014270.0
2019-02-11,11.08,11.21,11.21,10.97,801936.0
2019-02-12,11.2,11.19,11.31,11.03,959936.0
2019-02-13,11.19,11.38,11.41,11.12,1137365.0
2019-02-14,11.3,11.25,11.33,11.19,869185.0
2019-02-15,11.23,10.95,11.23,10.9,1100127.0
2019-02-18,11.05,11.36,11.36,11.04,1255522.0
2019-02-19,11.36,11.27,11.62,11.24,1270882.0
2019-02-20,11.33,11.41,11.53,11.25,832629.0
2019-02-21,11.38,11.36,11.55,11.28,754246.0
2019-02-22,11.35,11.54,11.57,11.15,1184047.0
2019-02-25,11.7,12.55,12.64,11.57,2824935.0
2019-02-26,12.55,12.2,12.57,12.15,2017544.0
2019-02-27,12.24,12.4,12.66,12.15,1979013.0
2019-02-28,12.44,12.36,12.61,12.27,1113099.0
2019-03-01,12.48,12.76,12.78,12.2,1712679.0
2019-03-04,12.7,12.99,13.38,12.62,2456830.0
2019-03-05,12.91,13.06,13.29,12.84,1408422.0
2019-03-06,13.06,13.08,13.15,12.84,1245760.0
2019-03-07,13.06,12.74,13.06,12.55,1782057.0
2019-03-08,12.49,12.3,12.7,12.25,1778162.0
2019-03-11,12.3,12.32,12.49,12.05,1157650.0
2019-03-12,12.49,12.36,12.64,12.24,1411794.0
2019-03-13,12.34,12.37,12.55,12.13,1269427.0
2019-03-14,12.33,12.43,12.62,12.27,1057467.0
2019-03-15,12.34,12.5,12.68,12.34,1045406.0
2019-03-18,12.53,12.91,12.94,12.32,1486454.0
2019-03-19,12.92,12.79,12.94,12.61,957196.0
2019-03-20,12.68,12.75,12.88,12.62,929996.0
2019-03-21,12.77,12.69,12.8,12.58,860140.0
2019-03-22,12.69,12.59,12.74,12.5,713502.0
2019-03-25,12.4,12.11,12.4,12.1,1179883.0
2019-03-26,12.23,12.1,12.29,12.01,935393.0
2019-03-27,12.24,12.38,12.47,12.18,922826.0
2019-03-28,12.31,12.22,12.31,12.1,732467.0
2019-03-29,12.26,12.82,12.82,12.21,1669506.0
2019-04-01,12.83,13.18,13.55,12.83,1951401.0
2019-04-02,13.28,13.36,13.48,13.23,1100384.0
2019-04-03,13.21,13.44,13.45,13.15,792915.0
2019-04-04,13.43,13.86,14.0,13.43,2034365.0
2019-04-08,13.9,13.96,14.43,13.72,1743176.0
2019-04-09,13.87,13.81,13.98,13.75,781332.0
2019-04-10,13.75,13.73,13.88,13.4,947135.0
2019-04-11,13.73,13.54,13.96,13.49,655356.0
2019-04-12,13.49,13.42,13.59,13.21,774324.0
2019-04-15,13.72,13.69,14.09,13.66,1533890.0
2019-04-16,13.67,14.58,14.58,13.55,2379375.0
2019-04-17,14.42,14.35,14.59,14.23,1004109.0
2019-04-18,14.3,14.34,14.37,14.11,507045.0
2019-04-19,14.45,14.73,14.8,14.3,1246036.0
2019-04-22,14.6,14.15,14.84,14.08,1322273.0
2019-04-23,14.1,14.07,14.2,13.97,940687.0
2019-04-24,14.45,14.44,14.6,14.16,1949723.0
2019-04-25,14.38,14.13,14.64,14.13,1111476.0
2019-04-26,14.08,13.79,14.25,13.7,1009421.0
2019-04-29,13.9,14.1,14.33,13.86,1030695.0
2019-04-30,13.99,13.85,14.05,13.59,1116570.0
2019-05-06,13.1,12.87,13.35,12.71,2108667.0
2019-05-07,13.03,12.95,13.09,12.72,1072658.0
2019-05-08,12.72,12.6,12.91,12.5,975450.0
2019-05-09,12.52,12.16,12.58,12.05,1557151.0
2019-05-10,12.34,12.68,12.75,12.1,1192399.0
2019-05-13,12.33,12.3,12.54,12.23,741917.0
2019-05-14,12.2,12.49,12.75,12.16,1182598.0
2019-05-15,12.58,12.92,13.11,12.57,1103988.0
2019-05-16,12.93,12.85,12.99,12.78,634901.0
2019-05-17,12.92,12.44,12.93,12.36,965000.0
2019-05-20,12.35,12.38,12.54,12.25,786435.0
2019-05-21,12.4,12.56,12.73,12.36,731210.0
2019-05-22,12.57,12.4,12.57,12.32,506230.0
2019-05-23,12.24,12.29,12.42,12.14,666855.0
2019-05-24,12.35,12.35,12.45,12.31,495526.0
2019-05-27,12.21,12.37,12.42,11.93,1048425.0
2019-05-28,12.31,12.49,12.55,12.26,880703.0
2019-05-29,12.36,12.4,12.59,12.26,666411.0
2019-05-30,12.32,12.22,12.38,12.11,646284.0
2019-05-31,12.16,12.18,12.4,12.11,686794.0
2019-06-03,12.22,11.9,12.33,11.82,1512719.0
2019-06-04,11.89,11.85,11.94,11.6,974655.0
2019-06-05,11.97,11.97,12.14,11.92,748892.0
2019-06-06,11.97,11.92,12.07,11.89,433665.0
2019-06-10,12.01,12.34,12.47,11.98,1144668.0
2019-06-11,12.34,12.65,12.72,12.3,1251087.0
2019-06-12,12.63,12.57,12.66,12.44,657310.0
2019-06-13,12.54,12.59,12.68,12.43,530000.0
2019-06-14,12.59,12.49,12.69,12.45,483191.0
2019-06-17,12.48,12.67,12.79,12.48,619815.0
2019-06-18,12.67,12.8,12.85,12.59,483555.0
2019-06-19,13.29,13.07,13.39,13.01,1143226.0
2019-06-20,13.17,13.8,13.95,13.12,1529191.0
2019-06-21,13.76,13.64,13.87,13.58,1011129.0
2019-06-24,13.69,13.69,13.83,13.61,659572.0
2019-06-25,13.72,13.43,13.72,13.07,1469227.0
2019-06-26,13.27,13.37,13.5,13.19,546504.0
2019-06-27,13.5,13.71,13.85,13.45,925074.0
2019-06-28,13.73,13.78,13.79,13.58,498093.0
2019-07-01,14.01,13.93,14.18,13.87,960636.0
2019-07-02,13.88,14.18,14.24,13.86,1052744.0
2019-07-03,14.18,14.01,14.21,13.87,769078.0
2019-07-04,14.01,13.99,14.28,13.88,621292.0
2019-07-05,13.95,13.92,13.98,13.69,749196.0
2019-07-08,13.82,13.59,13.88,13.45,778413.0
2019-07-09,13.63,13.59,13.71,13.44,494296.0
2019-07-10,13.61,13.56,13.7,13.49,358220.0
2019-07-11,13.68,13.54,13.78,13.53,484183.0
2019-07-12,13.6,14.12,14.23,13.58,1465366.0
2019-07-15,14.03,14.0,14.12,13.84,841282.0
2019-07-16,13.97,13.75,13.99,13.71,722780.0
2019-07-17,13.7,13.69,13.81,13.61,410020.0
2019-07-18,13.65,13.67,13.81,13.56,422826.0
2019-07-19,13.74,13.99,14.08,13.68,866390.0
2019-07-22,13.96,13.85,14.02,13.76,582283.0
2019-07-23,13.86,13.76,13.87,13.65,504004.0
2019-07-24,13.87,13.88,14.01,13.79,570276.0
2019-07-25,13.92,14.2,14.27,13.85,1087826.0
2019-07-26,14.18,14.23,14.25,14.08,635305.0
2019-07-29,14.25,14.29,14.45,14.18,715576.0
2019-07-30,14.31,14.37,14.55,14.29,796634.0
2019-07-31,14.3,14.13,14.32,14.08,634723.0
2019-08-01,14.06,14.1,14.19,13.94,527981.0
2019-08-02,13.77,13.74,13.88,13.66,969926.0
2019-08-05,13.6,13.35,13.64,13.27,893082.0
2019-08-06,13.1,13.37,13.46,13.03,882499.0
2019-08-07,13.49,13.54,13.64,13.37,793038.0
2019-08-08,13.9,14.38,14.5,13.85,2330715.0
2019-08-09,14.55,14.52,14.85,14.43,2060575.0
2019-08-12,14.61,15.12,15.12,14.6,2733425.0
2019-08-13,15.0,14.89,15.08,14.74,1293736.0
2019-08-14,15.14,14.97,15.22,14.8,1360546.0
2019-08-15,14.64,14.94,14.96,14.6,897376.0
2019-08-16,15.09,14.9,15.14,14.78,986902.0
2019-08-19,14.91,14.92,14.94,14.52,2292956.0
2019-08-20,14.92,14.99,15.2,14.77,1921041.0
2019-08-21,14.87,14.45,14.89,14.38,1990131.0
2019-08-22,14.4,14.31,14.45,14.2,1353071.0
2019-08-23,14.37,14.65,14.74,14.35,1636867.0
2019-08-26,14.42,14.25,14.5,14.15,1415122.0
2019-08-27,14.36,14.31,14.48,14.24,1356713.0
2019-08-28,14.26,14.27,14.28,14.05,829657.0
2019-08-29,14.22,14.13,14.24,14.08,609034.0
2019-08-30,14.29,14.16,14.39,14.1,798500.0
2019-09-02,14.15,14.45,14.5,14.11,1360201.0
2019-09-03,14.48,14.3,14.51,14.25,858653.0
2019-09-04,14.32,14.44,14.5,14.31,973964.0
2019-09-05,14.56,14.58,14.85,14.55,1768051.0
2019-09-06,14.71,14.81,14.81,14.62,986432.0
2019-09-09,14.98,14.69,15.0,14.6,1299839.0
2019-09-10,14.6,14.55,14.64,14.41,796870.0
2019-09-11,14.6,14.56,14.71,14.46,818614.0
2019-09-12,14.66,14.68,14.78,14.53,1150687.0
2019-09-16,14.7,14.45,14.72,14.4,929894.0
2019-09-17,14.36,14.24,14.45,14.18,882655.0
2019-09-18,14.24,14.41,14.48,14.24,820436.0
2019-09-19,14.48,14.84,14.89,14.48,1884020.0
2019-09-20,14.95,15.34,15.4,14.93,2644285.0
2019-09-23,15.34,15.38,15.47,15.18,1403282.0
2019-09-24,15.47,15.18,15.54,15.18,1129103.0
2019-09-25,15.2,15.75,15.85,15.19,1938892.0
2019-09-26,15.86,15.71,16.04,15.66,1686592.0
2019-09-27,15.85,15.9,16.0,15.7,1007706.0
2019-09-30,15.75,15.59,15.89,15.57,1046363.0
2019-10-08,15.6,16.2,16.23,15.6,1386676.0
2019-10-09,16.1,16.25,16.52,16.02,1316693.0
2019-10-10,16.27,16.24,16.27,15.99,879746.0
2019-10-11,16.2,16.81,16.95,16.2,1405422.0
2019-10-14,16.97,17.22,17.6,16.92,1557637.0
2019-10-15,17.25,17.18,17.35,16.82,881955.0
2019-10-16,17.26,16.79,17.44,16.63,1267671.0
2019-10-17,16.9,16.7,17.0,16.55,1126182.0
2019-10-18,16.8,16.51,17.04,16.43,1196799.0
2019-10-21,16.43,16.89,16.97,16.43,945952.0
2019-10-22,16.91,16.42,16.93,16.03,1883531.0
2019-10-23,16.32,16.45,16.67,16.23,967534.0
2019-10-24,16.5,16.87,17.0,16.44,1109214.0
2019-10-25,16.78,16.88,16.96,16.58,691435.0
2019-10-28,16.98,16.66,17.04,16.48,1070131.0
2019-10-29,16.69,16.91,16.93,16.56,788864.0
2019-10-30,16.8,16.43,16.96,16.42,854317.0
2019-10-31,16.42,16.26,16.47,16.24,862569.0
2019-11-01,16.35,16.86,17.0,16.28,1254655.0
2019-11-04,16.98,16.92,17.25,16.77,889824.0
2019-11-05,16.8,17.15,17.44,16.79,1172485.0
